age,education,years_experience,skills_count,communication,leadership,technical,certifications,willing_to_travel,preferred_domain,role
51,Bachelors,30,3,5,3,5,2,0,Marketing,PROJECT MANAGER
35,Bachelors,14,4,4,0,6,4,0,Finance,DATA ANALYST
42,Bachelors,16,0,5,3,6,1,0,IT,PROJECT MANAGER
35,Bachelors,13,4,8,1,0,0,0,IT,HR
58,Diploma,35,0,5,6,4,1,0,Marketing,MANAGER
49,Bachelors,31,3,8,3,5,2,0,Marketing,PROJECT MANAGER
41,Bachelors,16,0,3,1,6,2,0,HR,DATA ANALYST
50,Masters,21,3,3,1,3,5,0,HR,DATA ANALYST
49,High School,25,5,7,8,6,0,1,Manufacturing,DATA ANALYST
40,Diploma,16,2,7,7,7,5,0,Manufacturing,PROJECT MANAGER
53,Bachelors,32,3,5,4,10,1,0,IT,HR
41,Masters,23,1,10,4,0,1,0,Manufacturing,BUSINESS ANALYST
21,Masters,0,2,9,5,6,3,0,HR,HR
47,Masters,24,3,6,4,8,2,0,Operations,PROJECT MANAGER
57,High School,39,0,5,2,10,0,0,Finance,HR
18,High School,5,4,5,7,7,3,0,Manufacturing,HR
23,Bachelors,2,3,6,6,8,1,0,IT,BUSINESS ANALYST
58,Bachelors,38,3,7,2,3,1,1,IT,MANAGER
39,Masters,17,2,4,2,8,1,0,Manufacturing,DATA ANALYST
56,Bachelors,36,2,4,0,2,5,0,Marketing,DATA ANALYST
31,Masters,10,3,5,5,0,2,1,IT,MANAGER
48,High School,21,2,6,6,8,1,1,Operations,PROJECT MANAGER
33,Bachelors,14,4,8,0,0,3,0,Finance,HR
48,Masters,25,8,6,8,6,0,0,IT,MANAGER
36,PhD,12,2,5,5,3,2,1,HR,PROJECT MANAGER
56,Bachelors,38,7,4,5,9,5,0,Operations,DATA ANALYST
55,High School,32,6,7,2,5,0,1,HR,MANAGER
51,Masters,35,3,4,6,8,3,0,Manufacturing,DATA ANALYST
47,Bachelors,24,1,6,6,0,0,0,Manufacturing,HR
53,Bachelors,33,4,6,7,8,1,1,Operations,MANAGER
34,Bachelors,13,4,3,2,0,2,1,IT,PROJECT MANAGER
21,Bachelors,0,4,4,0,6,2,0,HR,CLERK
39,Bachelors,13,4,4,4,9,1,0,Operations,HR
27,Bachelors,9,2,8,6,7,1,0,HR,MANAGER
37,Bachelors,14,6,4,2,2,3,0,Manufacturing,BUSINESS ANALYST
49,PhD,31,2,6,6,1,4,1,HR,BUSINESS ANALYST
45,Bachelors,26,4,9,1,0,2,0,Marketing,HR
29,Masters,5,4,7,6,5,2,0,IT,DATA ANALYST
59,Bachelors,35,3,7,3,5,4,0,Manufacturing,HR
28,High School,5,3,6,2,6,0,0,Finance,HR
37,High School,15,3,7,5,0,3,0,HR,PROJECT MANAGER
36,Masters,15,6,8,4,4,2,0,Finance,HR
46,PhD,23,3,5,5,10,3,1,Manufacturing,HR
41,Masters,21,0,7,3,7,0,1,Operations,HR
25,Masters,1,3,8,4,1,2,0,Marketing,HR
55,High School,34,5,5,10,3,0,1,Operations,MANAGER
43,Diploma,26,4,5,4,5,3,0,IT,DATA ANALYST
34,High School,10,4,2,2,0,1,0,IT,DATA ANALYST
46,High School,25,3,3,10,8,3,0,Operations,HR
19,PhD,3,3,3,6,10,5,1,HR,MANAGER
52,PhD,30,3,4,6,2,4,0,Finance,PROJECT MANAGER
39,High School,15,3,0,3,10,0,1,IT,HR
23,Bachelors,6,0,5,8,6,1,0,Finance,HR
21,Masters,0,7,6,9,5,5,0,HR,HR
18,Masters,0,1,5,4,2,2,0,Finance,HR
40,Masters,13,2,5,9,9,1,0,Finance,PROJECT MANAGER
27,Bachelors,2,2,5,2,8,3,0,Operations,DATA ANALYST
43,Bachelors,26,4,8,5,0,1,0,IT,MANAGER
46,Masters,20,4,7,4,4,1,1,Finance,HR
22,Masters,0,6,6,7,5,5,0,Marketing,HR
55,Bachelors,39,4,7,8,2,2,1,Marketing,HR
53,Bachelors,29,2,3,10,6,5,0,HR,MANAGER
28,Masters,5,2,7,7,10,4,0,Operations,PROJECT MANAGER
21,Bachelors,1,0,5,6,0,1,0,HR,CLERK
24,High School,0,5,5,8,6,3,1,Operations,DATA ANALYST
51,Diploma,36,5,6,10,6,3,1,Manufacturing,PROJECT MANAGER
50,Bachelors,27,0,8,9,4,2,0,Marketing,PROJECT MANAGER
43,Bachelors,23,2,6,1,0,1,0,Marketing,PROJECT MANAGER
28,PhD,8,2,6,6,10,0,0,Marketing,DATA ANALYST
31,PhD,5,2,4,5,7,1,0,HR,BUSINESS ANALYST
32,High School,12,1,9,0,3,0,1,Finance,BUSINESS ANALYST
39,High School,19,3,5,7,0,5,1,Operations,HR
52,High School,30,3,7,7,0,5,0,Operations,MANAGER
24,High School,1,3,3,4,6,2,0,IT,DATA ANALYST
60,Masters,35,2,7,6,5,4,0,Operations,HR
49,Masters,26,1,9,4,8,3,1,Operations,HR
58,PhD,39,1,6,6,4,0,0,Finance,PROJECT MANAGER
31,Masters,3,1,8,9,2,1,0,Manufacturing,MANAGER
18,Masters,0,4,4,4,6,4,0,IT,DATA ANALYST
53,Bachelors,29,1,5,4,8,2,0,IT,HR
40,Masters,16,2,8,2,4,5,1,HR,BUSINESS ANALYST
52,Bachelors,37,2,1,4,0,3,0,IT,BUSINESS ANALYST
43,Masters,22,2,5,2,4,3,0,IT,DATA ANALYST
39,Bachelors,16,2,4,3,0,1,0,Finance,CLERK
49,Bachelors,23,3,2,3,6,3,0,Marketing,BUSINESS ANALYST
21,Masters,0,6,2,9,0,2,0,Operations,MANAGER
42,Masters,18,3,3,1,5,5,1,HR,DATA ANALYST
22,Masters,0,5,5,5,2,3,1,Operations,MANAGER
51,Bachelors,27,1,7,3,7,3,1,IT,HR
22,Bachelors,4,3,4,3,4,3,1,HR,HR
21,PhD,2,6,2,4,9,1,0,Marketing,MANAGER
54,Diploma,36,2,7,7,8,3,0,Marketing,PROJECT MANAGER
38,Diploma,15,4,6,5,2,3,0,Marketing,MANAGER
49,High School,24,2,5,3,4,3,0,Marketing,DATA ANALYST
42,High School,21,1,1,6,5,1,1,Marketing,PROJECT MANAGER
39,Bachelors,19,0,5,4,0,0,0,HR,HR
19,Diploma,0,3,7,5,6,3,1,IT,MANAGER
42,Masters,22,2,4,2,4,5,1,Manufacturing,DATA ANALYST
32,High School,7,3,6,2,6,4,1,Manufacturing,DATA ANALYST
58,Bachelors,32,1,6,4,6,3,0,IT,MANAGER
53,Masters,25,5,4,5,2,0,0,IT,PROJECT MANAGER
43,Diploma,16,2,5,3,0,3,0,HR,HR
24,High School,0,5,9,1,6,4,0,Manufacturing,HR
32,Bachelors,6,2,6,1,2,5,0,Marketing,BUSINESS ANALYST
29,Bachelors,8,2,5,7,4,4,0,HR,HR
59,Diploma,34,3,8,6,4,4,1,HR,HR
53,Masters,34,3,5,3,0,2,0,Operations,HR
44,High School,21,4,7,3,3,0,0,Manufacturing,HR
29,Bachelors,4,3,8,7,3,5,0,Manufacturing,MANAGER
42,Bachelors,17,5,10,4,0,1,1,HR,HR
34,Masters,14,3,6,2,8,2,0,Finance,DATA ANALYST
39,Diploma,13,2,5,5,5,1,0,IT,MANAGER
46,Masters,27,2,5,7,0,5,1,Marketing,BUSINESS ANALYST
38,Masters,15,3,10,6,7,0,1,Manufacturing,HR
29,Masters,11,3,5,7,1,5,0,Operations,PROJECT MANAGER
22,PhD,0,4,5,8,5,2,1,Operations,HR
37,Diploma,12,1,7,7,1,0,1,HR,HR
40,Bachelors,18,4,4,5,5,5,0,Operations,CLERK
50,PhD,26,2,8,7,0,5,1,Operations,BUSINESS ANALYST
25,Bachelors,7,4,8,7,0,5,1,HR,HR
20,High School,1,3,6,1,5,3,1,HR,HR
46,Masters,23,2,9,3,9,2,1,Manufacturing,DATA ANALYST
56,PhD,30,0,10,5,0,3,1,Operations,BUSINESS ANALYST
21,Bachelors,0,2,2,6,7,5,1,HR,MANAGER
29,Diploma,6,1,9,7,6,4,1,Finance,HR
23,Masters,0,5,5,5,3,2,1,Operations,HR
24,Masters,0,5,6,6,7,1,0,Operations,HR
34,Bachelors,15,3,5,6,5,4,1,Marketing,PROJECT MANAGER
21,Bachelors,4,4,2,5,5,3,0,Marketing,PROJECT MANAGER
29,High School,8,5,3,3,4,0,0,Operations,HR
30,Masters,10,3,9,5,5,1,1,Operations,BUSINESS ANALYST
25,Masters,0,3,7,5,5,1,0,IT,HR
38,Bachelors,19,2,7,3,4,4,0,Marketing,MANAGER
28,High School,3,0,6,8,0,0,0,IT,MANAGER
60,Bachelors,37,2,9,6,7,3,0,Manufacturing,HR
42,Bachelors,19,1,7,6,4,5,0,Marketing,HR
26,Masters,5,4,6,4,8,5,0,Manufacturing,MANAGER
59,High School,37,4,5,4,8,3,0,IT,PROJECT MANAGER
54,Bachelors,31,3,4,4,4,2,0,IT,DATA ANALYST
55,Bachelors,31,2,6,7,5,0,1,HR,HR
41,Bachelors,13,5,5,7,8,1,0,Marketing,DATA ANALYST
46,Masters,27,1,4,5,5,4,0,Manufacturing,CLERK
42,Masters,20,7,6,3,3,0,0,Marketing,PROJECT MANAGER
50,High School,28,5,6,6,3,2,0,Finance,HR
27,Masters,2,2,10,5,7,3,0,HR,MANAGER
33,Bachelors,12,2,8,1,8,3,0,Operations,CLERK
22,Masters,1,6,6,1,8,3,0,Finance,HR
25,Masters,0,3,2,3,6,2,0,Finance,DATA ANALYST
20,Masters,0,4,9,5,9,0,0,HR,HR
22,Bachelors,1,5,7,3,5,4,0,IT,HR
27,Masters,2,5,1,5,1,3,0,Marketing,DATA ANALYST
60,Masters,38,5,5,10,3,3,0,HR,MANAGER
40,Bachelors,14,3,7,8,0,3,0,HR,HR
49,Bachelors,24,2,3,6,4,3,0,Marketing,PROJECT MANAGER
35,Masters,15,3,9,2,3,1,0,Manufacturing,PROJECT MANAGER
60,Bachelors,36,3,7,5,3,5,1,HR,MANAGER
57,Masters,37,0,4,9,6,3,0,Manufacturing,PROJECT MANAGER
48,Masters,27,3,9,6,5,0,0,HR,HR
51,Bachelors,32,2,5,2,3,4,1,Marketing,BUSINESS ANALYST
47,High School,23,0,6,2,2,4,1,HR,MANAGER
39,Masters,22,5,6,8,6,5,0,Operations,MANAGER
35,High School,13,5,4,3,3,1,0,Manufacturing,HR
48,Bachelors,19,4,3,8,10,5,0,Manufacturing,DATA ANALYST
24,Bachelors,5,2,3,2,4,0,0,Manufacturing,DATA ANALYST
19,Bachelors,0,1,5,4,3,5,0,Finance,HR
41,Masters,23,5,10,0,4,0,0,IT,HR
49,Masters,25,1,4,7,1,1,0,IT,MANAGER
38,Bachelors,17,3,8,2,7,5,0,Marketing,DATA ANALYST
38,High School,12,5,7,1,4,4,0,IT,BUSINESS ANALYST
51,Diploma,30,3,5,1,4,4,0,HR,DATA ANALYST
44,Diploma,18,3,6,7,3,3,0,Marketing,PROJECT MANAGER
47,Bachelors,21,4,8,5,5,4,1,Operations,HR
37,High School,8,3,8,5,1,5,1,IT,MANAGER
59,PhD,32,5,9,9,0,5,0,Finance,HR
30,Masters,10,1,10,5,9,0,1,Manufacturing,HR
49,Diploma,28,1,7,0,0,0,0,Finance,HR
42,Bachelors,18,2,4,4,3,1,0,Marketing,MANAGER
46,Diploma,21,5,2,0,3,0,1,Manufacturing,HR
31,High School,14,5,9,6,0,3,0,IT,MANAGER
36,Bachelors,18,3,7,1,0,0,1,IT,PROJECT MANAGER
46,High School,23,0,6,3,3,1,0,Finance,MANAGER
48,Bachelors,25,3,4,6,6,0,1,Manufacturing,HR
46,Diploma,23,4,8,3,6,5,0,IT,BUSINESS ANALYST
57,High School,37,6,8,0,4,2,0,Marketing,HR
45,Masters,20,1,7,5,0,4,0,HR,BUSINESS ANALYST
58,Bachelors,36,5,3,0,9,0,0,Operations,PROJECT MANAGER
27,Bachelors,4,1,4,4,1,1,0,IT,MANAGER
42,Diploma,19,5,3,1,0,4,0,Operations,HR
42,Bachelors,19,2,1,6,10,4,0,HR,HR
33,Bachelors,14,3,6,4,4,4,0,Finance,PROJECT MANAGER
30,Bachelors,9,1,4,4,1,3,1,Marketing,MANAGER
43,Masters,25,3,4,3,3,1,0,Operations,MANAGER
18,Bachelors,0,2,7,3,4,1,0,Manufacturing,BUSINESS ANALYST
44,Masters,20,5,6,4,6,4,0,HR,HR
41,Bachelors,17,3,4,0,6,3,0,Marketing,DATA ANALYST
26,Bachelors,2,2,6,4,5,5,0,HR,HR
39,Diploma,10,1,3,1,3,1,0,Marketing,HR
39,Bachelors,17,5,3,4,6,2,1,HR,MANAGER
57,PhD,34,3,5,4,9,0,1,Operations,BUSINESS ANALYST
38,High School,21,3,7,4,3,4,0,Marketing,HR
24,High School,5,1,6,9,3,2,0,Manufacturing,HR
53,Diploma,32,2,9,2,1,0,1,Operations,MANAGER
52,High School,27,3,0,2,10,1,0,Marketing,DATA ANALYST
55,Masters,32,5,7,5,4,4,0,HR,MANAGER
27,Diploma,4,1,6,7,1,3,0,IT,HR
48,Masters,23,7,8,4,4,3,0,HR,PROJECT MANAGER
38,Masters,13,2,6,10,1,1,0,Operations,HR
60,Masters,35,2,7,4,6,0,0,Operations,MANAGER
20,Bachelors,5,0,5,3,4,1,0,IT,HR
26,Masters,2,2,10,6,1,0,0,Manufacturing,HR
29,Masters,14,3,6,1,10,1,0,HR,DATA ANALYST
21,Bachelors,0,3,7,6,1,5,0,Manufacturing,HR
22,Masters,2,5,2,6,9,0,0,HR,DATA ANALYST
30,Bachelors,6,5,7,5,4,5,1,Operations,HR
27,Diploma,4,2,3,3,0,5,0,IT,DATA ANALYST
20,Bachelors,2,2,9,7,1,3,0,Finance,HR
44,Diploma,23,3,7,0,4,0,0,Finance,PROJECT MANAGER
46,Masters,26,1,8,6,9,0,1,Marketing,MANAGER
24,Bachelors,10,4,6,2,7,1,0,HR,HR
45,Masters,22,4,10,3,7,0,0,Finance,PROJECT MANAGER
33,Masters,8,1,4,2,3,3,0,Operations,DATA ANALYST
47,Bachelors,23,2,10,7,7,4,1,HR,HR
34,Bachelors,9,4,7,7,6,5,0,Manufacturing,DATA ANALYST
32,High School,5,1,6,6,3,3,0,Marketing,MANAGER
28,Masters,5,5,6,10,8,4,1,IT,HR
33,Masters,16,1,0,2,4,0,0,Manufacturing,DATA ANALYST
26,Masters,3,4,6,5,3,1,1,Marketing,HR
39,Masters,15,3,6,4,4,2,0,Manufacturing,HR
43,Bachelors,21,4,6,2,5,0,0,Marketing,PROJECT MANAGER
35,Bachelors,14,4,5,1,6,3,0,Manufacturing,DATA ANALYST
39,PhD,14,3,3,3,3,0,0,Operations,HR
56,Diploma,31,1,5,7,5,1,1,Marketing,PROJECT MANAGER
29,Masters,10,4,4,4,3,3,1,Operations,HR
39,Diploma,15,3,8,7,7,2,0,Manufacturing,DATA ANALYST
22,Masters,0,1,4,4,9,3,0,Operations,PROJECT MANAGER
39,PhD,16,4,7,7,5,4,1,Operations,HR
34,Masters,12,5,5,9,2,2,0,HR,HR
20,PhD,0,1,8,8,5,1,0,Finance,PROJECT MANAGER
38,Diploma,12,3,6,7,4,1,0,Operations,MANAGER
24,Masters,0,2,6,7,7,1,0,Marketing,HR
37,Bachelors,13,3,6,2,7,3,0,Manufacturing,DATA ANALYST
23,High School,0,6,3,4,4,4,0,Operations,HR
41,Bachelors,18,4,8,6,7,4,0,HR,BUSINESS ANALYST
30,PhD,6,3,4,6,1,3,1,HR,HR
47,High School,24,3,8,7,4,1,0,Marketing,HR
59,PhD,38,5,4,8,7,1,0,Manufacturing,MANAGER
52,Diploma,26,1,4,4,5,3,0,Manufacturing,MANAGER
42,Masters,20,2,5,8,3,4,1,Marketing,CLERK
33,Bachelors,10,2,4,3,3,4,0,HR,HR
54,Bachelors,29,2,7,7,1,0,0,IT,MANAGER
39,Masters,18,4,3,5,3,4,0,Manufacturing,MANAGER
38,Diploma,15,5,9,9,4,5,0,IT,MANAGER
46,Masters,26,6,10,5,3,5,0,IT,HR
57,Bachelors,35,3,6,4,6,1,0,HR,HR
41,Bachelors,17,7,8,1,10,2,1,HR,DATA ANALYST
57,High School,33,2,8,8,5,1,1,Manufacturing,HR
56,Bachelors,31,7,4,3,5,0,0,HR,HR
29,Bachelors,7,1,6,6,6,5,1,Operations,MANAGER
27,Bachelors,3,2,7,1,5,4,1,Finance,DATA ANALYST
59,Bachelors,36,2,1,4,7,3,0,Operations,PROJECT MANAGER
22,PhD,0,3,5,3,4,2,0,Finance,HR
28,High School,8,2,4,4,7,3,1,HR,DATA ANALYST
44,Bachelors,19,4,4,4,6,2,0,Operations,DATA ANALYST
48,Bachelors,25,3,5,4,7,3,0,Finance,BUSINESS ANALYST
44,Bachelors,24,1,6,1,0,5,0,IT,PROJECT MANAGER
47,Bachelors,24,1,3,1,7,2,0,IT,DATA ANALYST
53,Bachelors,35,3,8,8,0,4,1,Marketing,PROJECT MANAGER
37,High School,11,0,5,3,10,1,0,Finance,HR
49,Bachelors,31,5,2,8,7,3,0,Operations,PROJECT MANAGER
32,High School,13,1,6,6,3,0,0,Operations,PROJECT MANAGER
28,Bachelors,7,1,9,4,1,1,0,Marketing,HR
51,Bachelors,26,4,7,4,6,5,0,IT,DATA ANALYST
44,Diploma,16,2,8,5,0,1,1,Operations,BUSINESS ANALYST
22,Masters,1,3,7,3,3,0,1,IT,HR
32,High School,9,2,2,1,4,4,0,IT,DATA ANALYST
29,Masters,12,2,7,8,10,2,1,Marketing,MANAGER
40,Bachelors,19,3,5,6,1,5,1,Marketing,MANAGER
37,PhD,12,2,7,10,4,0,0,Marketing,DATA ANALYST
45,Bachelors,24,2,7,7,5,1,0,IT,MANAGER
51,High School,26,2,10,5,6,1,0,Finance,DATA ANALYST
32,Masters,11,2,6,4,5,4,0,HR,HR
36,Bachelors,16,1,5,0,0,5,0,Finance,BUSINESS ANALYST
25,High School,4,3,5,6,4,5,0,Manufacturing,HR
56,Masters,33,3,8,3,4,2,0,IT,HR
57,PhD,39,3,5,5,5,1,0,Operations,PROJECT MANAGER
51,Bachelors,33,1,2,1,4,1,1,IT,DATA ANALYST
34,Masters,11,2,8,2,8,4,1,Finance,DATA ANALYST
38,Masters,16,2,7,5,8,0,0,Operations,DATA ANALYST
26,Bachelors,4,1,9,6,6,3,0,Marketing,HR
58,High School,34,4,3,4,0,4,0,HR,PROJECT MANAGER
30,Masters,11,4,5,8,9,3,0,HR,PROJECT MANAGER
19,Diploma,0,2,7,5,6,3,0,Manufacturing,HR
49,Bachelors,25,5,7,5,3,3,1,HR,HR
38,High School,6,4,6,2,2,5,0,Marketing,HR
46,Masters,19,1,6,4,6,3,0,Marketing,HR
59,Masters,39,0,3,8,1,3,0,IT,MANAGER
42,Diploma,17,2,7,1,4,5,1,HR,HR
21,High School,3,2,8,3,9,2,1,Marketing,DATA ANALYST
60,Bachelors,38,3,5,7,0,2,0,IT,MANAGER
41,Masters,18,6,6,3,3,0,0,HR,HR
27,Bachelors,7,2,5,5,3,1,1,Marketing,MANAGER
36,High School,16,3,7,2,6,5,0,Finance,HR
20,High School,5,2,5,6,6,4,0,Marketing,HR
35,High School,14,2,5,1,3,5,0,Manufacturing,BUSINESS ANALYST
19,High School,2,0,6,5,5,5,0,Marketing,DATA ANALYST
23,Diploma,0,1,8,5,2,1,0,Marketing,HR
55,Masters,34,3,10,4,10,3,1,Manufacturing,DATA ANALYST
26,Masters,2,5,5,4,4,0,0,Manufacturing,HR
50,High School,22,3,6,2,3,4,1,IT,HR
46,High School,23,2,7,4,0,1,0,Manufacturing,MANAGER
37,PhD,11,5,8,7,6,2,0,Operations,DATA ANALYST
60,Bachelors,36,1,6,3,3,0,0,IT,DATA ANALYST
51,High School,31,1,7,1,4,1,0,Operations,PROJECT MANAGER
33,Diploma,11,3,5,2,0,0,0,Finance,BUSINESS ANALYST
56,Bachelors,29,1,2,1,5,2,0,Marketing,PROJECT MANAGER
48,Masters,20,4,3,6,3,1,0,Manufacturing,HR
48,Masters,23,2,7,3,10,2,0,Marketing,DATA ANALYST
